qa_m1,qa_m2,qa_a3,qa_a4,qa_d5,qa_d6,qa_d7,covidence_id,article_id,pathogen
NA,NA,NA,NA,1,0,0,2059,1,Marburg virus
NA,NA,NA,NA,1,0,0,2060,20,Marburg virus
1,1,NA,NA,0,0,0,2116,25,Marburg virus
1,1,NA,NA,1,1,0,2120,44,Marburg virus
1,0,NA,NA,1,0,0,2241,42,Marburg virus
1,1,NA,NA,0,0,0,2369,37,Marburg virus
1,0,NA,NA,1,1,1,2370,40,Marburg virus
NA,NA,NA,NA,1,NA,NA,2573,60,Marburg virus
1,1,NA,NA,1,1,0,2596,7,Marburg virus
1,1,NA,NA,1,0,0,2597,5,Marburg virus
1,1,NA,NA,1,0,NA,2600,55,Marburg virus
1,1,NA,NA,0,0,0,2601,24,Marburg virus
1,0,NA,NA,0,0,0,2614,22,Marburg virus
1,1,NA,NA,0,0,0,2696,33,Marburg virus
1,1,NA,NA,1,1,0,2759,45,Marburg virus
1,1,1,1,1,1,1,2761,43,Marburg virus
0,1,NA,NA,1,1,0,2762,21,Marburg virus
1,1,NA,NA,1,1,0,2766,NA,NA
0,1,NA,NA,0,0,0,2808,32,Marburg virus
1,1,NA,NA,1,1,1,2819,57,Marburg virus
1,1,NA,NA,1,1,0,2822,58,Marburg virus
1,1,1,1,1,1,1,2869,35,Marburg virus
1,0,NA,NA,1,0,0,2883,23,Marburg virus
1,1,1,1,1,1,1,2886,27,Marburg virus
0,0,NA,NA,1,1,0,3473,38,Marburg virus
1,0,0,0,1,0,0,3795,6,Marburg virus
0,0,NA,NA,0,0,0,4282,NA,NA
1,1,NA,NA,0,1,0,4657,46,Marburg virus
1,1,NA,NA,1,0,0,4693,49,Marburg virus
1,1,NA,NA,1,0,0,5648,63,Marburg virus
1,1,1,1,1,1,1,1483,29,Marburg virus
1,1,NA,NA,0,0,0,1595,39,Marburg virus
NA,NA,NA,NA,1,NA,NA,1613,54,Marburg virus
1,1,NA,NA,0,0,0,1615,8,Marburg virus
1,0,0,0,1,1,0,1649,3,Marburg virus
1,1,NA,NA,0,0,0,1692,4,Marburg virus
1,1,NA,NA,1,1,0,1693,9,Marburg virus
0,0,0,0,1,0,0,1871,31,Marburg virus
1,1,NA,NA,0,0,0,1927,56,Marburg virus
NA,NA,NA,NA,1,NA,NA,1930,12,Marburg virus
1,1,NA,NA,0,1,0,1983,11,Marburg virus
1,0,0,0,0,0,0,2032,26,Marburg virus
0,0,NA,NA,0,0,0,2042,2,Marburg virus