id,model_data_id,covidence_id,pathogen,model_type,stoch_deter,transmission_route,compartmental_type,model_compartmental_other,assumptions,theoretical_model,interventions_type,code_available,model_notes,model_uncertainty,model_spatial,model_spillover,model_fitting_method,model_language,model_data,model_readme
2e5358679e004f88bc55cfc68b1d8408,69d73640738b2afb740da4cd8c7d1497,2768,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify","SIRS (human, pig and bat layers)","Homogeneous mixing,Heterogenity in transmission rates - between human and vector",FALSE,"Vector/Animal control,Other",FALSE,NA,TRUE,FALSE,TRUE,Latin Hypercube Sampling with Least squares,NA,Unspecified,FALSE
1bd30e1a46f30f6e760bf305ddbc705b,893b2bf083bcf9a3573ac3cf831ac556,2800,Nipah virus,Branching process,Stochastic model,Unspecified,Not compartmental,NA,Unspecified,FALSE,Unspecified,TRUE,"This is an extension of the Nishiura branching process model, and used to calculate the probability an epidemic is over",TRUE,FALSE,FALSE,It performs a calculation to generate the probability the epidemic is over.,R,Yes - on another platform,TRUE
b298ad00b28ef8e7969cc0ef90b0ab97,7632a5546932f1df610f8dd075631db4,2906,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),"Other compartmental, please specify",SVEIRD,Unspecified,FALSE,Safe burials,FALSE,"Data- is available on request  - Global model, safe burials considered",FALSE,FALSE,FALSE,NA,NA,Yes - on another platform,FALSE
d370b6c37dcba60a0691fac9cfdc1ffe,592041451b4f00ca9eba28ca558dbd2a,2916,Nipah virus,Compartmental,Stochastic model,Human to human (direct contact),SEIR,NA,NA,TRUE,Unspecified,FALSE,assumed uncertainty was considered as model was stochastic,TRUE,FALSE,FALSE,NA,NA,Unspecified,FALSE
d2f9e91081dbf71d85472888195eef36,b4777b84f0c02717d35677bd787b6a89,3017,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),"Other compartmental, please specify","susceptible, vaccinated, infected, treated, recovered, dead bodies. compartments for flying foxes as well",Other,FALSE,"Vaccination,Vector/Animal control,Treatment,Safe burials,Unspecified",FALSE,model fitted to yearly incidence,FALSE,FALSE,FALSE,stranded nonlinear least squares regression,NA,Not available,FALSE
cebd940056bc1be8d2e9b1751aa75b8e,6e91a57852250be69d1de9294ca11779,3028,Nipah virus,Compartmental,Stochastic model,Human to human (direct contact),SEIR,NA,Heterogenity in transmission rates - between human groups,TRUE,"Vaccination,Contact tracing,Hospitals",TRUE,"Only human-human transmission in model, but risk of emergence considered",TRUE,TRUE,TRUE,NA,Python,Yes - on Github,TRUE
e427c5ca74252fa056485d084b3d5d64,24a9463244769a2e8430be14f8ce4be5,3048,Nipah virus,Compartmental,Deterministic model,Vector/Animal to human,SIR,NA,Heterogenity in transmission rates - between human and vector,TRUE,NA,TRUE,NA,FALSE,FALSE,TRUE,NA,Matlab,Not available,FALSE
a0426117a55340de488a4573bfb443f4,bcbf051913ae2a6d65fac0a0c4cc3177,3357,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),"Other compartmental, please specify",SIRD,Other,TRUE,Safe burials,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE
4a5ecf0a179e532fa0dd0cb30296e004,99ffcf66eac248e3d771310bd1c41ba5,3359,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),"Other compartmental, please specify",SEIRD,Other,TRUE,Safe burials,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE
14e4af4c5acac3871e3d052079189685,20948fd617f99511955b4ac2176b7578,3361,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",SEIR-SEI type model with vaccination and protective behaviour,Homogeneous mixing,TRUE,"Vaccination,Behaviour changes",FALSE,NA,FALSE,FALSE,TRUE,NA,Python,NA,NA
5f241552751dc63acf32452d40c9086a,d2afd76ea7105bd155ab9819c986d79f,3363,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",SI (bats) - SIR (animals) - SIHR (humans),Homogeneous mixing,TRUE,"Quarantine,Vector/Animal control,Other",FALSE,NA,FALSE,FALSE,TRUE,NA,Matlab,NA,NA
653074bdca3515c0d8f19eec6f36bdb0,5b55c59c4be570a1ad8d5a08d2e028d6,3371,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),"Other compartmental, please specify",SEIIHTR,Homogeneous mixing,TRUE,"Quarantine,Hospitals",FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA
1fc6b6893a343baf4df750dfea6a28ba,caf43d5edc63a9888a178127fd10adf5,3373,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),SIR,NA,Homogeneous mixing,TRUE,Safe burials,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA
3f7224eeca37199f41c48eadd4945c05,fe815640655ccd21ca52a64097f7a8bb,3379,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human",SEIR,NA,"Homogeneous mixing,Heterogenity in transmission rates - over time,Other",TRUE,NA,FALSE,Simulations coded in Mathematica,FALSE,FALSE,TRUE,NA,Other,NA,NA
31a953f70392d35e95768bfea2487520,801e9795a04adc5991064a28707150cd,3382,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),SIR,NA,Homogeneous mixing,TRUE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA
2b8710c19a1fcb13fa71a0d6d17fbcdb,aa5f4fa703fa5fe8c418e9259659fe7c,3402,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",SEIR-SIR-SI,"Heterogenity in transmission rates - between human groups,Heterogenity in transmission rates - between human and vector",TRUE,"Vaccination,Treatment",FALSE,NA,FALSE,FALSE,TRUE,NA,Other,NA,NA
f7aee49811030185ad652a3e4db4bedb,436758256d46f0b43a445bdd5aeb6f85,3410,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),SEIR,NA,Homogeneous mixing,TRUE,"Quarantine,Treatment,Behaviour changes,Other",FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA
e78e87854927bdb90b9067bc3f744a08,3355f9db53afe7755efb0ef764b36b77,3446,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),SEIR,NA,Homogeneous mixing,TRUE,"Quarantine,Treatment",FALSE,NA,FALSE,FALSE,FALSE,NA,Python,NA,NA
dea8f5bae50dafe4b8b13f6f628a683f,fce0aa7970f5490965227d5d119b182d,3489,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),"Other compartmental, please specify",SIRD,Homogeneous mixing,TRUE,Safe burials,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA
3f8d8ad5913ba53c9a15d84034da9b41,083c654a7b835712e5356d2aa99c799a,3496,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",SIR-SIR-SI,Heterogenity in transmission rates - between human and vector,TRUE,"Vaccination,Treatment",FALSE,NA,FALSE,FALSE,TRUE,NA,Python,NA,NA
10d91bce0ae2146c9738a43537f0026f,5f4cb1509ca93e33a475db7d99901214,3512,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human",SEIR-SEI,NA,"Heterogenity in transmission rates - between human groups,Heterogenity in transmission rates - between human and vector",TRUE,"Vaccination,Quarantine,Vector/Animal control,Treatment,Safe burials,Behaviour changes,Other",FALSE,NA,FALSE,FALSE,TRUE,NA,Python,NA,NA
496a653faab4c83c1da96760ab697322,2c488ff631810a6beeca2e9fd44c467c,3527,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),SEIR,NA,Homogeneous mixing,TRUE,Treatment,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA
635ea39d0bb5db75c51e26880525a0ec,a056b80519787f0159a9e36644f622ea,3571,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",Paired SI-SIS,"Homogeneous mixing,Heterogenity in transmission rates - between human and vector",TRUE,"Vector/Animal control,Other",FALSE,Human and pig paired SI-SIS model. Optimal control. No real world data.,TRUE,FALSE,TRUE,NA,NA,NA,FALSE
fd290286e6ae39fb83e84da5f4fd193e,097810220448bea7d9c1a9342e2bb095,3643,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",Paired SI-SIR with environment variable,"Homogeneous mixing,Heterogenity in transmission rates - between human and vector",TRUE,"Quarantine,Vector/Animal control,Treatment,Safe burials",FALSE,Theoretical model of flying foxes and humans with an environmental spillover variable representing virus in the environment.,FALSE,FALSE,TRUE,NA,NA,Not available,FALSE
685f184d146c3e9411ee158e4fd7cf00,f1f7c6ddc7c4cc736d84642a76ef93ba,3679,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),SIR,NA,Homogeneous mixing,FALSE,NA,FALSE,Fits unique beta and gamma for every year,FALSE,FALSE,FALSE,Maximum Likelihood,NA,Not available,FALSE
6596eac1a06aa53b67aa63a0c2f00363,a0c164278ba38624cdc4071f54dbd402,3682,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify","Paired SIR-SIR-SIR-SIR between human, bat, fruit, and animal",Homogeneous mixing,TRUE,"Treatment,Behaviour changes,Other",FALSE,Purely theoretical,FALSE,FALSE,TRUE,NA,NA,Not available,FALSE
ad3ca1d7ad86814905d5aa70b1ee57ab,f00b70624c9da9ca43b600a4184b9871,3755,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",Paired SIRD-SI,"Homogeneous mixing,Heterogenity in transmission rates - between human and vector",FALSE,"Vector/Animal control,Other",FALSE,Theoretical model of flying foxes and humans with an environmental spillover variable representing virus in the environment.,FALSE,FALSE,FALSE,Least Squares,NA,Not available,FALSE
8052fb77a6dcfc88917edc3692f1c4e5,a743ca1cb7807a66e0516afb0ea344f2,3807,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),"Other compartmental, please specify",SEIR with 'treatment' compartment,Homogeneous mixing,TRUE,NA,FALSE,Purely theoretical. Chosen parameter values don't have any reasonable reference to Nipah literature.,FALSE,FALSE,FALSE,NA,NA,Not available,FALSE
53a2b441658575a04fe754425c7b94c9,996aa6b8da8935ec970a96ed6307121a,4070,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human",SEIR,NA,"Heterogenity in transmission rates - between human groups,Heterogenity in transmission rates - between human and vector",TRUE,Unspecified,FALSE,NA,FALSE,TRUE,TRUE,NA,NA,NA,NA
e9e267e90648708babe5874782e812a9,c49c322a072b8cd7755d7f1b0ffce833,4074,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",SEI_AI_SR-SIR,Other,TRUE,Vaccination,FALSE,"Model Compartments: Pigs: susceptible, infected,  recovered; Humans: susceptible, exposed, symptomatic infectious, asymptomatic infectious, recovered. Assumptions mostly related to pigs and the routes of transmision to humans.",FALSE,FALSE,TRUE,NA,Matlab,NA,FALSE
7aa477525583f1760e418df3d602b08a,70ca57ccf532581b8f2166a9c34f674a,4077,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",SEQIRD-SI,Other,TRUE,"Quarantine,Treatment,Other",FALSE,"Compartments: Human: susceptible, exposed, quarantined, infected, recovered, dead; Animal: susceptible,infected. Other intervention: media control. Mathematica (Wolfram) also used for coding langauge.",FALSE,FALSE,TRUE,NA,Matlab,NA,FALSE
4622612df82cf1c4d13a7467324233f9,c79f6db80f336eb2cca6308191130572,4120,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",SI SIRHD,Other,TRUE,"Treatment,Hospitals,Behaviour changes,Other",FALSE,"transmission was human to human - but also food borne and contact with dead cases. other intervention - , human interventions are implemented to reduce the contaminated bat class. Behaviour chnage is caused by media coverage (as a result social distancing)",TRUE,FALSE,FALSE,NA,NA,Yes - as an attachment,FALSE
6ed82d3626abc779e725b87af320692c,6187c13988bdafba2ee27c08f0164d98,4124,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human,Sexual","Other compartmental, please specify",SVCEIRD,Other,TRUE,"Vaccination,Treatment,Treatment centres,Safe burials,Other",FALSE,other intervention - condom use. assumptions listed above table 2.1.,FALSE,FALSE,TRUE,NA,Python,Unspecified,FALSE
8f22ac231d5f167663e2286b80fa8ddf,1324dc7ffa08ac386c053e04cdbc3b7b,4131,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Sexual",SEIR,NA,"Heterogenity in transmission rates - between human groups,Other",TRUE,"Vaccination,Other",FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA
4e545e2abeddd9f6dfca2ff2840cc32a,ea4ccd0a4fa89201f9b406810746e27f,4141,Nipah virus,Compartmental,Stochastic model,Human to human (direct contact),SEIR,NA,Homogeneous mixing,TRUE,Quarantine,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA
ef21d63f07809e79bf55c3c56bc55131,d90ae987ae4930533432290019b07e7f,4142,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),SIR,NA,"Homogeneous mixing,Other",TRUE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA
5991c1a5ca1c05adf954075b2247a882,9d4e43e35766d0abe88c31e8eb175ea2,4167,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",SIR-SI,Homogeneous mixing,FALSE,"Vaccination,Treatment",FALSE,NA,FALSE,FALSE,TRUE,least squares nonlinear regression minimization,Matlab,Not available,FALSE
6091ccc446f51b407f4623f206c2af9c,59c2fc5efcc1dd380c0180d2b114e7c6,3374,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Unspecified","Other compartmental, please specify",SI-SIHRD,Heterogenity in transmission rates - between human and vector,TRUE,"Treatment,Hospitals,Safe burials",FALSE,There is another transmission route described by authors as foodborne,FALSE,FALSE,TRUE,NA,NA,NA,NA
f70e3af18a522200425d23b5f0e4e1e3,767fbe338d9b46e6199639d9a7ab1f0f,3411,Nipah virus,Compartmental,Deterministic model,Unspecified,"Other compartmental, please specify",SEI-SEI,Heterogenity in transmission rates - between human and vector,TRUE,Unspecified,FALSE,The transmission route is described by authors as foodborne,FALSE,FALSE,TRUE,NA,NA,NA,NA
