id,outbreak_data_id,covidence_id,pathogen,asymptomatic_transmission,cases_asymptomatic,cases_confirmed,cases_mode_detection,cases_severe,cases_suspected,cases_unspecified,deaths,female_cases,male_cases,ongoing,outbreak_country,outbreak_date_year,outbreak_duration_months,outbreak_end_day,outbreak_end_month,outbreak_location,outbreak_start_day,outbreak_start_month,outbreak_start_year,population_size,pre_outbreak,prop_female_cases,prop_male_cases,type_cases_sex_disagg,outbreak_start_date,outbreak_end_date
5b14e5a2e5af795a6f4ed6801bf728ee,4a5eaab0417137d31929f5c42547beb6,212,Zika virus,FALSE,NA,72,Unspecified,NA,4567,NA,NA,NA,NA,FALSE,Jamaica,2016,NA,30,Jul,NA,30,Jan,2016,NA,NA,NA,NA,NA,2016-01-30,2016-07-30
06ab3ef43f032c6f7ea2b82a504df78d,fc021e46a45628397b461997de114bf4,268,Zika virus,FALSE,NA,NA,Symptoms,NA,25213,NA,NA,NA,NA,FALSE,Brazil,2016,NA,15,Apr,Rio De Janeiro,NA,Jan,2015,NA,Disease-free baseline,NA,NA,NA,2015-01-15,2016-04-15
a7c20ebeebef0cf7039d68563055a8d2,fbfa67e0510546c52d5bb00e4213fcac,422,Zika virus,FALSE,NA,1470,Symptoms,NA,NA,NA,NA,860,610,FALSE,Colombia,2015,3,31,Dec,Barranquilla,1,Oct,2015,NA,Disease-free baseline,0.59,0.41,Confirmed,2015-10-01,2015-12-31
839a729a72edf2a9f5e9389f5e5fbd07,4e874b2d73d07fdcd36c64f03ed3d309,435,Zika virus,FALSE,NA,51,Molecular (PCR etc),NA,89,NA,NA,33,18,FALSE,Chile,2014,NA,30,May,Easter Island,NA,Jan,2014,NA,Disease-free baseline,0.64,0.36,Confirmed,2014-01-15,2014-05-30
357b0bcc353b9a317cebaf140dddb071,1d08ae4c56264036f333ed09ad7474fa,674,Zika virus,FALSE,NA,NA,Symptoms,NA,3651,NA,NA,NA,NA,FALSE,Colombia,2016,10,10,Sep,Bucaramanga,13,Dec,2015,528269,Unspecified,NA,NA,NA,2015-12-13,2016-09-10
357b0bcc353b9a317cebaf140dddb071,fa4e6ace9bd7793a945df32451acfb70,674,Zika virus,FALSE,NA,NA,Symptoms,NA,12220,NA,NA,NA,NA,FALSE,Colombia,2016,10,10,Sep,Cali,13,Dec,2015,2394925,Unspecified,NA,NA,NA,2015-12-13,2016-09-10
357b0bcc353b9a317cebaf140dddb071,dc28f8165f80317aeb20551b087a7578,674,Zika virus,FALSE,NA,NA,Symptoms,NA,4287,NA,NA,NA,NA,FALSE,Colombia,2016,5,2,Apr,Cúcuta,22,Nov,2015,656380,Unspecified,NA,NA,NA,2015-11-22,2016-04-02
357b0bcc353b9a317cebaf140dddb071,5dbfb95f7bc97a51826b20c936052f0b,674,Zika virus,FALSE,NA,NA,Symptoms,NA,1940,NA,NA,NA,NA,FALSE,Colombia,2016,5,2,Apr,Nieva,22,Nov,2015,344026,Unspecified,NA,NA,NA,2015-11-22,2016-04-02
7d49b13bdf0eef103b35bbb481615a9d,6fe3879e8efc2bf2ea11298ba47bbb40,729,Zika virus,FALSE,NA,NA,Unspecified,NA,18364,NA,NA,NA,NA,FALSE,Colombia,2016,NA,NA,NA,NA,NA,Aug,2015,NA,NA,NA,NA,Suspected,2015-08-15,2016-01-15
ee91c0ab0659d374a528f3886de3fe72,da8fa32d7b12c9d9f4f1b49dda7dfe40,845,Zika virus,FALSE,NA,368,Molecular (PCR etc),NA,1717,NA,NA,224,NA,FALSE,Thailand,2017,24,NA,Dec,NA,NA,Jan,2016,NA,Unspecified,0.61,NA,NA,2016-01-15,2017-12-15
20b33325ec2e04f800032770a256b30e,9730e39a309e326f107789150faaebfc,890,Zika virus,FALSE,NA,52,Molecular (PCR etc),NA,928,NA,NA,589,NA,FALSE,Colombia,2016,5,30,Jan,San Andres,6,Sep,2015,54513,NA,0.635,NA,Suspected,2015-09-06,2016-01-30
20b33325ec2e04f800032770a256b30e,c2c4fd10edaf563ce06853b0ce75a9f4,890,Zika virus,FALSE,NA,32,Molecular (PCR etc),NA,1936,NA,NA,1138,NA,FALSE,Colombia,2016,4,22,Jan,Girardot,19,Sep,2015,102225,NA,0.588,NA,Suspected,2015-09-19,2016-01-22
16f97fa8a34ea65fbc4020042bcb2cce,314284b16ef566fff2bf60cf4ada4641,927,Zika virus,FALSE,NA,NA,Unspecified,NA,717,NA,NA,NA,NA,FALSE,France,2016,NA,10,Mar,Guadeloupe,29,Jan,2016,NA,Unspecified,NA,NA,NA,2016-01-29,2016-03-10
16f97fa8a34ea65fbc4020042bcb2cce,4550d4efb844713ebe6bec5c21a50591,927,Zika virus,FALSE,NA,102,Unspecified,NA,NA,NA,NA,NA,NA,FALSE,France,2016,NA,21,Jan,Martinique,21,Dec,2015,NA,Unspecified,NA,NA,NA,2015-12-21,2016-01-21
16f97fa8a34ea65fbc4020042bcb2cce,70226b4726d4f3c9e9de8e2133fae1da,927,Zika virus,FALSE,NA,NA,Unspecified,NA,573,NA,NA,NA,NA,FALSE,Dominican Republic,2016,NA,27,Feb,NA,30,Jan,2016,NA,Unspecified,NA,NA,NA,2016-01-30,2016-02-27
16f97fa8a34ea65fbc4020042bcb2cce,edc5b1a9d5b5a73b86d5f896b5ca2821,927,Zika virus,FALSE,NA,129,Unspecified,NA,NA,NA,NA,NA,NA,FALSE,Mexico,2016,NA,13,Mar,1 Unspecified Admin Region,1,Jan,2016,NA,Unspecified,NA,NA,NA,2016-01-01,2016-03-13
16f97fa8a34ea65fbc4020042bcb2cce,99c6157ba49d1b0654974cc1baf861fc,927,Zika virus,FALSE,NA,NA,Unspecified,NA,NA,386,NA,NA,NA,FALSE,Guatemala,2016,NA,15,Feb,8 Unspecified Admin Regions,16,Nov,2015,NA,Unspecified,NA,NA,NA,2015-11-16,2016-02-15
16f97fa8a34ea65fbc4020042bcb2cce,7fb69857baca7a7a021c28730fe09f66,927,Zika virus,FALSE,NA,49,Unspecified,NA,NA,NA,NA,NA,NA,FALSE,Panama,2016,NA,13,Mar,1 Unspecified Admin Region,1,Jan,2016,NA,Unspecified,NA,NA,NA,2016-01-01,2016-03-13
16f97fa8a34ea65fbc4020042bcb2cce,f664fa0c3d9d54bf65d5d775e69cd954,927,Zika virus,FALSE,NA,198,Unspecified,NA,NA,NA,NA,NA,NA,FALSE,United States,2016,NA,24,Feb,Puerto Rico,26,Nov,2015,NA,Unspecified,NA,NA,NA,2015-11-26,2016-02-24
16f97fa8a34ea65fbc4020042bcb2cce,ecc4753141451e6ba055e097360fc727,927,Zika virus,FALSE,NA,NA,Unspecified,NA,5618,NA,NA,NA,NA,FALSE,El Salvador,2016,NA,13,Mar,11 Unspecified Admin Regions,1,Jan,2016,NA,Unspecified,NA,NA,NA,2016-01-01,2016-03-13
16f97fa8a34ea65fbc4020042bcb2cce,7da8ae16562f4961a20b635fd6d338a8,927,Zika virus,FALSE,NA,1593,Unspecified,NA,NA,NA,NA,NA,NA,FALSE,Colombia,2016,NA,13,Mar,15 Unspecified Admin Regions,1,Jan,2016,NA,Unspecified,NA,NA,NA,2016-01-01,2016-03-13
16f97fa8a34ea65fbc4020042bcb2cce,8614437a1476d977c4cfb015dd7fd293,927,Zika virus,FALSE,NA,NA,Unspecified,NA,96,NA,NA,NA,NA,FALSE,Ecuador,2016,NA,13,Mar,2 Unspecified Admin Regions,1,Jan,2016,NA,Unspecified,NA,NA,NA,2016-01-01,2016-03-13
4a1b4eb91bc7c144f5766c5022434ab3,44d95e4bc31eafb96ed8b04db15471bc,947,Zika virus,FALSE,NA,NA,Unspecified,NA,1208,NA,NA,NA,NA,FALSE,France,2014,NA,NA,Mar,"Austral Islands, French Polynesia",NA,Oct,2013,7000,NA,NA,NA,NA,2013-10-15,2014-03-15
4a1b4eb91bc7c144f5766c5022434ab3,256565bf2b94b57f1f6016be4a7bc4cf,947,Zika virus,FALSE,NA,NA,Unspecified,NA,1235,NA,NA,NA,NA,FALSE,France,2014,NA,NA,Mar,"Mo'orea, French Polynesia",NA,Oct,2013,16000,NA,NA,NA,NA,2013-10-15,2014-03-15
4a1b4eb91bc7c144f5766c5022434ab3,bdfb0c3248c1ea13e94f29e7c47b1026,947,Zika virus,FALSE,NA,NA,Unspecified,NA,994,NA,NA,NA,NA,FALSE,France,2014,NA,NA,Mar,"Marquesas Islands, French Polynesia",NA,Oct,2013,9000,NA,NA,NA,NA,2013-10-15,2014-03-15
4a1b4eb91bc7c144f5766c5022434ab3,528f3f3973c80e3e46e59ec75cb8d18f,947,Zika virus,FALSE,NA,NA,Unspecified,NA,3912,NA,NA,NA,NA,FALSE,France,2014,NA,NA,Mar,"Sous-Le-Vent Islands, French Polynesia",NA,Oct,2013,33000,NA,NA,NA,NA,2013-10-15,2014-03-15
4a1b4eb91bc7c144f5766c5022434ab3,75072165b08cad71e26cafa83cd26f8b,947,Zika virus,FALSE,NA,NA,Unspecified,NA,21406,NA,NA,NA,NA,FALSE,France,2014,NA,NA,Mar,"Tahiti, French Polynesias",NA,Oct,2013,184000,NA,NA,NA,NA,2013-10-15,2014-03-15
4a1b4eb91bc7c144f5766c5022434ab3,24b9c79a85b2d56636ad406373776dba,947,Zika virus,FALSE,NA,NA,Unspecified,NA,1211,NA,NA,NA,NA,FALSE,France,2014,NA,NA,Mar,"Tuamotus, French Polynesia",NA,Oct,2013,16000,NA,NA,NA,NA,2013-10-15,2014-03-15
4a1b4eb91bc7c144f5766c5022434ab3,39e67cc0dc1d1d5d3d5eea2cb7275c35,947,Zika virus,FALSE,NA,NA,Unspecified,NA,30454,NA,NA,NA,NA,TRUE,France,2016,NA,NA,Oct,Guadeloupe,NA,Jan,2016,400000,NA,NA,NA,NA,2016-01-15,2016-10-15
4a1b4eb91bc7c144f5766c5022434ab3,c727fe2102446faea703818abbb3ab1d,947,Zika virus,FALSE,NA,NA,Unspecified,NA,37295,NA,NA,NA,NA,TRUE,France,2016,NA,NA,Oct,Martinique,NA,Jan,2016,385000,NA,NA,NA,NA,2016-01-15,2016-10-15
4a1b4eb91bc7c144f5766c5022434ab3,e9ae97bac53355129fbbaa0daac5c0bf,947,Zika virus,FALSE,NA,NA,Unspecified,NA,2519,NA,NA,NA,NA,TRUE,France and the Netherlands,2016,NA,NA,Oct,Saint Martin,NA,Jan,2016,36000,NA,NA,NA,NA,2016-01-15,2016-10-15
113410d3a7a98837164a456482470874,6252eb9834a95f2223a2eecd0a5b5b7f,1474,Zika virus,FALSE,NA,147,Molecular (PCR etc),NA,454,NA,NA,115,32,FALSE,NA,2016,12,NA,Dec,Entire Country,26,Dec,2015,285000,Disease-free baseline,78.2,21.8,Confirmed,2015-12-26,2016-12-15
4373c8705f186f97e650dcd7d8576797,888a64a4d929a651c189001a7914d6d3,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,45,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Bajo Cauca: Caceres,1,Jan,2016,38850,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,1771c96be54d71c2229da9d5306159ed,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,29,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Bajo Cauca: Nechi,1,Jan,2016,27238,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,3cf39a7de5ff7c9ce9908ff0ef0d6ce3,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,59,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Bajo Cauca: Caucasia,1,Jan,2016,114902,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,a05af1344bdb48dd159ef42135f31294,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,49,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Bajo Cauca: Zaragoza,1,Jan,2016,31129,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,571cc9464b6f655b5ee3ca9846559f89,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,351,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Valle Aburra: Medellin,1,Jan,2016,2486723,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,69b3d648efc3ec5ec30244cecd2f6a2e,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,32,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Valle Aburra: Bello,1,Jan,2016,464614,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,2b917b55cc4b9ac8163f49e607dc860a,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,21,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Valle Aburra: Envigado,1,Jan,2016,227644,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,aabd121c7e72ed58c459b4ab95e34b3f,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,40,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Valle Aburra: Itagui,1,Jan,2016,270903,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,f0bbda4a578c128f1e88d2869507058d,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,164,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Valle Aburra: Uraba Chigorodo,1,Jan,2016,78148,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,064e866fc12b1101a29a487705808cba,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,23,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Valle Aburra: San Pedro De Uraba,1,Jan,2016,31539,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,485b4cbf98173d69236ff281fe929b1e,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,102,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Valle Aburra: Carepa,1,Jan,2016,57220,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,e5af519ac22ca2232a814319398a2757,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,228,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Valle Aburra: Turbo,1,Jan,2016,163525,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,5a8c08b8eb3abbd9a57a3930dc7618a9,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,36,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Valle Aburra: Necocli,1,Jan,2016,63991,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,dfcaf85c68b544ce61c2eba05f1e1a13,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,315,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Valle Aburra: Apartado,1,Jan,2016,183716,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,414a39d0bae133d6c47547030c50c51b,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,19,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Valle Aburra: Mutata,1,Jan,2016,21077,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,bf21ebbd444eca0e2e19693ed4e7080e,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,18,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Nordeste: Remedios,1,Jan,2016,29898,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,8a1a19d8cf6f3e1459d2a92ac8e29651,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,61,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Magdalena Medio: Puerto Berrio,1,Jan,2016,47717,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,f668f012f818daa6e4961a82d09f040e,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,27,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Magdalena Medio: Puerto  Triunfo,1,Jan,2016,20483,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,6f3211b8343e66e39a4504e6e31ea8d1,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,17,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Magdalena Medio:  Occidente Sospetran,1,Jan,2016,14821,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
4373c8705f186f97e650dcd7d8576797,bb12d8d6d418bdca2ee93a2b70b0eb68,1496,Zika virus,FALSE,NA,NA,Symptoms,NA,18,NA,NA,NA,NA,FALSE,Colombia,2016,NA,11,Apr,Antioquia: Magdalena Medio: Oriente Rionegro,1,Jan,2016,122231,Unspecified,NA,NA,Suspected,2016-01-01,2016-04-11
0d8b5564a7742b227124ca04b24da9c8,db2677afe8005db6a65696fd22383118,1679,Zika virus,FALSE,NA,9802,Molecular (PCR etc),NA,108087,NA,NA,70478,35977,TRUE,Colombia,2017,NA,24,Jun,NA,10,Oct,2015,NA,Disease-free baseline,66.2,33.8,Suspected,2015-10-10,2017-06-24
3303c883f8926db4b2d53b24ae494ed0,0bcfab9ef7e7f7d026a72f8fabccef0b,1797,Zika virus,TRUE,309,725,Molecular (PCR etc),NA,355,NA,NA,519,NA,FALSE,United States,2017,18,30,Jun,New York City,1,Jan,2016,NA,Disease-free baseline,NA,NA,Confirmed,2016-01-01,2017-06-30
ed2e15ef94a2a9d4d4b90d9186a7777e,da673b6ac42d7715e0983ba0c2435277,1821,Zika virus,FALSE,NA,21,Unspecified,NA,NA,NA,NA,NA,NA,FALSE,United States,2016,NA,5,Aug,"Wynwood Neighborhood, Miami-Dade County, Florida",26,Jun,2016,7725,NA,NA,NA,NA,2016-06-26,2016-08-05
2fa3fe874508d86d9bf45299d293eb06,0f1f3e26ff6e97ce1f084141e684be20,1941,Zika virus,FALSE,NA,NA,Symptoms,NA,7580,NA,NA,NA,NA,FALSE,Cabo Verde,2016,NA,29,May,"Santiago, Fogo, Maio, Boavista",5,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-05,2016-05-29
2fa3fe874508d86d9bf45299d293eb06,c8f32548e1376f3146ded9ae675c682c,1941,Zika virus,FALSE,NA,NA,Symptoms,NA,4937,NA,NA,NA,NA,FALSE,Cabo Verde,2016,NA,29,May,Santiago,5,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-05,2016-05-29
2fa3fe874508d86d9bf45299d293eb06,a14fc0416eabbfc6129ab0a854b10db5,1941,Zika virus,FALSE,NA,NA,Symptoms,NA,1458,NA,NA,NA,NA,FALSE,Cabo Verde,2016,NA,29,May,Fogo,5,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-05,2016-05-29
1d766b4a3d66aadf9e1f721204d3cd9e,8f61cf1f883a896878c413f2668489f2,2353,Zika virus,FALSE,NA,128,Molecular (PCR etc),NA,4966,NA,NA,NA,NA,FALSE,France,2014,NA,28,Mar,"Tahiti, French Polynesias",11,Oct,2013,178100,NA,NA,NA,NA,2013-10-11,2014-03-28
1d766b4a3d66aadf9e1f721204d3cd9e,1af86ec7ca5e6bb53e4d9b3b0f577275,2353,Zika virus,FALSE,NA,166,Molecular (PCR etc),NA,1131,NA,NA,NA,NA,FALSE,France,2014,NA,28,Mar,"Sous-Le-Vent Islands, French Polynesia",11,Oct,2013,33100,NA,NA,NA,NA,2013-10-11,2014-03-28
1d766b4a3d66aadf9e1f721204d3cd9e,a1165d2f5c734484798b04151c8603d8,2353,Zika virus,FALSE,NA,22,Molecular (PCR etc),NA,440,NA,NA,NA,NA,FALSE,France,2014,NA,28,Mar,"Mo'orea, French Polynesia",11,Oct,2013,16200,NA,NA,NA,NA,2013-10-11,2014-03-28
1d766b4a3d66aadf9e1f721204d3cd9e,dd7bd9fe66c6a01b380e5eff4df08c12,2353,Zika virus,FALSE,NA,9,Molecular (PCR etc),NA,612,NA,NA,NA,NA,FALSE,France,2014,NA,28,Mar,"Tuamotu-Gambier, French Polynesia",11,Oct,2013,15800,NA,NA,NA,NA,2013-10-11,2014-03-28
1d766b4a3d66aadf9e1f721204d3cd9e,9ca274c7a0e0d1e525551772c62cb97d,2353,Zika virus,FALSE,NA,21,Molecular (PCR etc),NA,455,NA,NA,NA,NA,FALSE,France,2014,NA,28,Mar,"Marquesas Islands, French Polynesia",11,Oct,2013,8600,NA,NA,NA,NA,2013-10-11,2014-03-28
1d766b4a3d66aadf9e1f721204d3cd9e,8c0e7fdbe523d5c95bc1e3da8d457f04,2353,Zika virus,FALSE,NA,36,Molecular (PCR etc),NA,733,NA,NA,NA,NA,FALSE,France,2014,NA,28,Mar,"Austral Islands, French Polynesia",11,Oct,2013,6800,NA,NA,NA,NA,2013-10-11,2014-03-28
89bad8a04b3ef84522134f5abef367d7,86fdf91dde7c4c994b80f0b0ad9dfbe8,2804,Zika virus,FALSE,NA,25,Molecular (PCR etc),NA,119,NA,NA,NA,NA,FALSE,Mexico,2015,NA,18,Dec,Chiapas State,30,Nov,2015,NA,Unspecified,NA,NA,Confirmed,2015-11-30,2015-12-18
032b24a0adb1fcef718363c06289d512,eb2439c453ff2b11e90620c37a8d4716,3042,Zika virus,FALSE,NA,1717,Molecular (PCR etc),NA,NA,NA,NA,NA,NA,FALSE,Brazil,2016,NA,NA,May,Rio De Janeiro,NA,Feb,2015,NA,Unspecified,NA,NA,NA,2015-02-15,2016-05-15
d7ad85cf1607a27c587c0f5327f9ff27,e1191f062c9168a13adde7a638673c3b,3337,Zika virus,FALSE,NA,108,Confirmed + Suspected,0,185,NA,0,66,NA,FALSE,Federated States of Micronesia,2007,NA,31,Jul,Yap Island,1,Apr,2007,7391,Disease-free baseline,0.61,NA,Confirmed,2007-04-01,2007-07-31
fd6828e254cb39d1ebdd3eae053ecd53,949a005fd2b43c820d23aac23ff9fc69,3622,Zika virus,FALSE,NA,791,Molecular (PCR etc),NA,NA,NA,NA,553,238,FALSE,Suriname,2016,11,23,Aug,NA,2,Oct,2015,530000,Disease-free baseline,69.9,30.1,Confirmed,2015-10-02,2016-08-23
fd6828e254cb39d1ebdd3eae053ecd53,6d27ebd856a8de5139c818a8cdaf9f10,3622,Zika virus,FALSE,NA,1,Molecular (PCR etc),NA,NA,NA,NA,NA,NA,FALSE,Suriname,2016,11,23,Aug,Brokopondo,2,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-02,2016-08-23
fd6828e254cb39d1ebdd3eae053ecd53,745ff51dd1c5abf2fc5522386bb1206a,3622,Zika virus,FALSE,NA,19,Molecular (PCR etc),NA,NA,NA,NA,NA,NA,FALSE,Suriname,2016,11,23,Aug,Commewijne,2,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-02,2016-08-23
fd6828e254cb39d1ebdd3eae053ecd53,e967ed68edadbf56a1236d580b469996,3622,Zika virus,FALSE,NA,5,Molecular (PCR etc),NA,NA,NA,NA,NA,NA,FALSE,Suriname,2016,11,23,Aug,Coronie,2,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-02,2016-08-23
fd6828e254cb39d1ebdd3eae053ecd53,72e7fabb0fcc241ffe001906c52e95e9,3622,Zika virus,FALSE,NA,4,Molecular (PCR etc),NA,NA,NA,NA,NA,NA,FALSE,Suriname,2016,11,23,Aug,Marowoijne,2,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-02,2016-08-23
fd6828e254cb39d1ebdd3eae053ecd53,aa29db72e2b0a8043c1fb934e0fd5223,3622,Zika virus,FALSE,NA,39,Molecular (PCR etc),NA,NA,NA,NA,NA,NA,FALSE,Suriname,2016,11,23,Aug,Nickerie,2,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-02,2016-08-23
fd6828e254cb39d1ebdd3eae053ecd53,68071997984b044cbbe8a3ff649a0c1d,3622,Zika virus,FALSE,NA,6,Molecular (PCR etc),NA,NA,NA,NA,NA,NA,FALSE,Suriname,2016,11,23,Aug,Para,2,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-02,2016-08-23
fd6828e254cb39d1ebdd3eae053ecd53,5fbd2a895e45304470a30a1408248337,3622,Zika virus,FALSE,NA,358,Molecular (PCR etc),NA,NA,NA,NA,NA,NA,FALSE,Suriname,2016,11,23,Aug,Paramaribo,2,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-02,2016-08-23
fd6828e254cb39d1ebdd3eae053ecd53,bd60d7b76e6e42ed4eae8eb96d623ff6,3622,Zika virus,FALSE,NA,11,Molecular (PCR etc),NA,NA,NA,NA,NA,NA,FALSE,Suriname,2016,11,23,Aug,Saramacca,2,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-02,2016-08-23
fd6828e254cb39d1ebdd3eae053ecd53,acd40db64be5cfaf052cb3b2cabce128,3622,Zika virus,FALSE,NA,4,Molecular (PCR etc),NA,NA,NA,NA,NA,NA,FALSE,Suriname,2016,11,23,Aug,Sipaliwini,2,Oct,2015,NA,Disease-free baseline,NA,NA,NA,2015-10-02,2016-08-23
